country,unit,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3
ESTONIA,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
ESTONIA,KROON,16.949,18.488,17.218,17.561,18.04,16.79,15.957,14.948,14.458,13.218,13.397,12.612,12.77,12.778,12.833,11.787,11.789,12.68,12.748,13.253,13.164,12.174,12.238,11.884,11.631,11.631,11.466,10.654,10.313,11.092,12.14,11.44,11.086,11.106,10.898,10.865,12.75,12.728,12.336,12,11.7,11.7,11.697,11.697,11.697,11.697,11.697,11.697,11.697,,,,,,,,,,,,,,
ETHIOPIA,BIRR,8.37,8.44,8.5,8.56,8.56,8.56,8.57,8.58,8.58,8.59,8.61,8.62,8.63,8.63,8.64,8.65,8.66,8.66,8.67,8.681,8.681,8.69,8.7,8.78,8.95,8.95,9.04,9.04,9.33,9.57,9.67,10.45,11.05,12.52,12.5,12.64,13.4,16.36,16.51,16.49,16.65,16.91,17.08,17.21,17.39,17.6,17.96,18.18,18.4,18.64,18.83,19.06,19.22,19.57,19.87,20.09,20.33,20.57,20.82,21.07,21.36,21.78,22.05
EURO ZONE,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.709,0.776,0.731,0.709,0.71,0.697,0.695,0.815,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
FIJI,DOLLAR,2.205,2.205,2.212,2.285,2.287,2.124,2.124,2.042,1.959,1.86,1.824,1.744,1.704,1.753,1.764,1.633,1.638,1.672,1.699,1.728,1.75,1.712,1.717,1.644,1.622,1.622,1.63,1.543,1.477,1.647,1.792,1.719,2.096,2.018,1.964,1.925,1.901,1.942,1.923,1.82,1.8,1.75,1.819,1.785,1.767,1.85,1.758,1.759,1.76,1.86,1.83,1.864,1.86,1.807,1.91,1.958,2.041,2.058,2.139,2.125,2.04,2.053,2.016
FINLAND,EURO,,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
FINLAND,MARKKA,6.442,7.024,6.542,6.672,6.855,,,,,,,,,,0.82,0.753,0.754,0.81,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,5.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,EURO,,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
FRANCE,FRANC,7.105,7.749,7.217,7.361,7.562,,,,,,,,,,,,,,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABON,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,476.54,475.54,480.48,520.11,538.82,606.41,586.83,585.1,602.68,575.75,590.69,593.95
GAMBIA,DALASI,15,16,17,18,19,19,21,24,24,27,34,30,29,29,29,29,29,28,28,28,28,28,28,28,28,28,22,21,22,21,27,27,26,27,27,27,27,29,29,28,28.5,29,30,30,30,31,34,34,35,39,34,39,40,41,43,45,48,40,40,40,40,43,45
GEORGIA,LARI,2.08,2.07,2.065,2.07,2.22,2.22,2.195,2.11,2.18,2.148,2.113,2.09,2,1.92,1.785,1.78,1.83,1.83,1.8,1.8,1.82,1.8,1.92,1.715,1.68,1.68,1.67,1.63,1.55,1.46,1.65,1.67,1.67,1.65,1.69,1.69,1.75,1.84,1.84,1.76,1.76,1.67,1.66,1.66,1.66,1.63,1.66,1.66,1.66,1.66,1.67,1.74,1.75,1.77,1.76,1.87,2.23,2.25,2.38,2.4,2.37,2.34,2.33
GERMANY FRG,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
GERMANY FRG,MARK,2.119,2.31,2.152,2.195,2.255,,,,,,,,,,0.82,0.753,0.754,0.81,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,1.6869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHANA,CEDI,7095,7100,7050,7100,7450,7650,7975,8250,8525,8525,8625,8700,8850,8900,8900,9020,9020,9020,9020,9020,9095,9095,9095,9210,9210,9210,0.938,0.981,0.971,1.154,1.15,1.276,1.386,1.491,1.459,1.429,1.42,1.41,1.432,1.45,1.51,1.51,1.586,1.637,1.773,1.88,1.895,1.905,1.94,2.02,2.16,2.35,2.55,3.31,3.27,3.21,3.81,4.34,3.74,3.82,3.835,3.926,3.97
GREECE,EURO,,,,,,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
GREECE,DRACHMA,369.1,402.54,374.9,382.39,392.84,,,,,,,,,,,,,,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,279.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRENADA,E. CARIBBEAN DOLLAR,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
GUATEMALA,QUENTZAL,7.705,7.705,7.85,8.005,8.007,7.85,7.79,7.63,7.86,7.905,8.03,8,8.085,7.98,7.885,7.73,7.66,7.595,7.565,7.58,7.584,7.567,7.58,7.64,7.66,7.66,7.665,7.665,7.694,7.42,7.43,7.81,8.005,8.133,8.235,8.332,7.986,8.031,8.02,8,7.77,7.74,7.858,7.824,7.705,7.8,7.981,7.902,7.78,7.83,7.93,7.841,7.75,7.779,7.69,7.597,7.646,7.625,7.671,7.632,7.711,7.629,7.521
GUINEA,FRANC,1900,1945,1972,1974,1975,1975,1976,1976,1975,1980,1995,2000,2000,2000,2650,2850,3328,3648,3856,4500,4602,5547,5547,5640,3220,3850,3835,4208,4412,4491,4615,4536,4640,4697,4740,4924,5648,5949,6007,6078,6286,6770,6682,7118,7010,6902,6993,6970,6949,6884,6916,7006,6892,7002,7023,7136,7361,7448,7614,8004,8965,8987,9092
GUINEA BISSAU,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
GUYANA,DOLLAR,180,180,183,188,188,188,188,194,194,195.41,195.41,195.41,195.41,203,203,203,203,203,203,203,201.3,201.3,201.3,205,200.3,200.3,200.3,200.3,200.3,200.3,200.3,200.34,200.34,200.34,200.34,201,201,201,201,201,201,202,200,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202
HAITI,GOURDE,23.54,23.75,24.2,26.75,26.5,27.15,28,36,41,37.25,38.75,40.5,29,33.75,35,36,36.25,38.15,41.65,36.9,37.9,37.9,38.4,36.9,35.9,35.9,35.15,36.65,37.25,38.25,38.95,39.25,39.75,40.75,40.75,40.75,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,42.15,42.15,42.5,42.2,43.07,43.55,43.85,45,45,46.75,46.75,48.7,53.114,56.584,61.671,61.649,64.733
HONDURAS,LEMPIRA,15.02,15.38,15.52,15.854,16.06,16.34,16.52,16.882,17,17.18,17.429,17.957,17.957,18.122,18.34,18.57,18.74,18.86,18.87,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.9,18.958,18.958,19.21,19.4,19.402,19.91,19.91,19.91,20.42,20.42,20.42,20.82,20.82,21.27,21.8,22,22,22.3,22.5,22.5,23
HONG KONG,DOLLAR,7.8,7.8,7.8,7.797,7.799,7.8,7.8,7.798,7.798,7.798,7.744,7.763,7.79,7.794,7.8,7.775,7.799,7.78,7.772,7.753,7.758,7.758,7.779,7.787,7.809,7.809,7.796,7.787,7.782,7.805,7.807,7.751,7.754,7.75,7.75,7.754,7.764,7.786,7.78,7.77,7.79,7.78,7.79,7.776,7.763,7.76,7.753,7.75,7.76,7.76,7.75,7.753,7.76,7.75,7.77,7.756,7.754,7.752,7.75,7.75,7.754,7.759,7.754
HUNGARY,FORINT,288.55,299.28,279.02,274.24,282.95,259.71,249.75,225.27,225.09,210.96,217.72,211.39,202.9,205.44,203.53,184.61,182.04,206.01,199.04,213.99,212.9,204.2,216.31,191.36,186.02,186.02,186.6,172.24,155.22,155.22,195.4,228.48,198.32,193.04,189.44,187.77,228.15,231.68,226.8,217.12,196.1,183.78,216.49,234.36,220.89,242.91,219.87,221.96,237.29,226.35,220.45,215.73,224.76,226.66,246.1,259.44,278.65,282,279.37,289.98,275.41,285.38,277.55
ICELAND,KRONA,86.23,104.72,98.7,102.81,100.47,91.62,88.18,80.88,77.7,71.68,76.37,72.25,72.1,71.45,63.27,64.96,60.49,64.62,62.95,63.14,75.19,71.49,69.94,69.86,61.58,69.08,63.57,70.21,78.68,90.58,114.66,123.17,126.99,127.25,124.69,124.45,127.74,127.28,120.71,117.07,115.86,114.43,117.85,122.27,126.3,130.54,123.42,128.01,123.52,123.19,120.91,115.03,112.37,112.66,121.08,126.75,136.99,131.61,127.14,129.67,123.21,123.07,114.51
INDIA,RUPEE,46.5,46.8,47,47.9,48.55,48.8,48.38,47.84,47.52,46.88,45.7,45.4,43.88,45.1,46.18,44.6,43.45,43.45,43.75,44.9,44.35,46.1,46.3,44.05,40.55,40.55,40.9,39.55,39.7,42.4,48.45,48.2,50.35,47.65,48.6,46.4,44.95,46.3,46.75,45.7,44.95,44.45,48.6,52.25,50.8,56,52.35,54.45,54.15,59.55,62.5,61.5,61.75,59.7,61.45,63.2,62.25,63.4,66,66.1,65.9,67.4,66.55
INDONESIA,RUPIAH,9440,11240,8840,10060,10160,8820,8870,8820,8845,8200,8300,8400,8500,9100,9200,8900,9200,9450,10400,9800,9150,9200,9100,8900,8800,8800,9380,9330,9000,9280,10800,11900,10000,10150,9975,9350,9025,9000,8950,8900,8775,8525,8700,9060,9075,9450,9450,9700,9625,9875,11475,12100,11500,11875,12100,12350,12985,13250,14570,13550,13160,13100,12890
IRAN,RIAL,,,,,,,,,,,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,8229,28085,29319,29956,29830,30165,30100,30060
IRAQ,DINAR,,,,,,,,,,,,,1421,1455,1421,1461,1459,1464.27,1469.2,1469.2,1469.2,1476.2,1473.2,1323,1272,1272.3,1272,1272,1272,1272,1177,1140,1155.05,1155,1150,1150,1165.05,1165,1166.2,1166.5,1170,1170,1170,1170,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166,1166
IRELAND,EURO,,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
IRELAND,POUND,0.853,0.93,0.866,0.884,0.908,,,,,,,,,,0.82,0.753,0.754,0.81,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,0.6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRAEL,SHEKEL,4.108,4.133,4.26,4.407,4.67,4.917,4.658,4.745,4.813,4.385,4.439,4.357,4.521,4.56,4.517,4.362,4.347,4.407,4.529,4.602,4.699,4.507,4.399,4.182,4.063,4.063,4.121,3.825,3.234,3.614,3.576,3.878,4.157,3.906,3.791,3.78,3.696,3.869,3.814,3.68,3.62,3.41,3.733,3.773,3.711,3.88,3.912,3.732,3.64,3.62,3.54,3.469,3.48,3.434,3.69,3.881,3.976,3.768,3.927,3.899,3.764,3.848,3.759
ITALY,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
ITALY,LIRA,2097.3501,2287.3799,2130.3401,2172.9,2232.27,,,,,,,,,,0.82,0.753,0.754,0.81,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,1670.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVORY COAST,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,,,,,,,,,,,,,,
JAMAICA,DOLLAR,45.3,45.5,45.6,47.25,47.3,48.15,48.7,49.85,54,60.45,59.35,60.26,60.26,60.26,61.61,61.61,61.61,61.61,61.61,64.17,64.17,65.42,65.42,66.83,68.25,68.25,69.65,70.65,71.55,71.1,72.25,80.5,87.15,88.3,88.3,89.3,89.3,85.9,86.4,85.8,85.8,86.1,86.1,86.1,86.1,86.1,89,92,96,99,101,104,106,111.5,111.5,113.9,113.9,116.5,118.7,118.7,121.7,125,128
JAPAN,YEN,117.32,119.01,118.82,131.31,133.84,124.32,118.67,118.77,118.08,118.69,111.35,107.37,104.02,110.19,108.82,103.11,104.26,107.97,111.02,117.94,116.17,112.26,117.16,119.53,121.79,121.79,116.05,110.88,104.15,105.52,90.75,92.65,97.44,96.32,92.79,92.39,92.89,88.66,84.39,83.83,81.87,80.4,76.84,78,82.06,78.79,77.66,86.16,94.06,99,97.81,105.01,101.88,101.39,109.6,119.45,119.9,122.4,120.22,120.42,112.25,102.66,101.26
JERUSALEM,SHEKEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,3.54,3.469,3.48,3.434,3.69,3.881,3.976,3.768,3.927,3.899,3.764,3.848,3.759
JORDAN,DINAR,0.708,0.708,0.705,0.708,0.708,0.707,0.7,0.708,0.707,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.707,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.71,0.71,0.71,0.708,0.708,0.708,0.71,0.708,0.708,0.71,0.71,0.71,0.708,0.71,0.708,0.71,0.708,0.708,0.708,0.708,0.708,0.708,0.708,0.708
KAZAKHSTAN,TENGE,146.7,146.8,147.7,151.6,152.3,153.4,154.6,156.2,154,150.2,148.7,145,138.8,137,136.5,130,130.3,132.5,135.7,134.4,131.3,123,125.7,128,121.7,121.7,127.8,120.9,120.9,120.5,119.8,150.5,150.3,150.4,150.8,148.4,147.1,147.5,147.2,147.5,146,146.3,147.9,148,147.7,147.9,150,150.7,150.9,151.8,153.6,153.6,184.1,183.5,181.9,182.4,185.7,186.2,270.4,339.5,343.1,338.9,334.9
KENYA,SHILLING,78,77.85,78.8,78.45,77.9,78.28,78.75,77.4,76.45,72.4,78.2,75.75,77.6,79.35,79.75,81.15,75.9,76.9,75.67,72.35,72.6,72.05,72.75,69.1,66.85,66.85,66.8,71.15,67.9,70.57,77.41,78.15,79.65,76.25,76.05,75.85,77.25,81.85,80.85,80.9,82.3,89.1,99.6,83.55,82.95,85.7,85.35,86.1,85.25,85.5,86.6,86.4,86.45,87.58,89.3,90.65,92.24,99.05,104.75,102.2,101.4,100.97,101.1
KOREA,WON,1253.1,1280,1274,1303.5,1313.8,1209.3,1191.9,1185.8,1193.6,1205.9,1150.1,1195,1146.2,1164,1151.7,1048,1006,1007,1040,1003.5,970.9,945.3,963.9,925.8,927.5,927.5,938,920.8,1033.5,1028.5,1360.9,1478.2,1248.9,1280.5,1248,1163.65,1131.2,1221.6,1199.05,1160.15,1126,1067.5,1180.9,1150.15,1132.9,1178.47,1112.04,1063.24,1111.05,1141,1073.7,1055.25,1065.71,1011.5,1054.55,1086.87,1108.48,1116.8,1183.36,1175.9,1136.52,1149.59,1101.13
KUWAIT,DINAR,0.307,0.308,0.305,0.307,0.308,0.304,0.302,0.3,0.3,0.299,0.295,0.295,0.295,0.295,0.295,0.295,0.292,0.292,0.292,0.292,0.292,0.289,0.289,0.289,0.288,0.288,0.282,0.275,0.272,0.265,0.267,0.282,0.292,0.287,0.287,0.286,0.289,0.291,0.288,0.28,0.28,0.28,0.275,0.278,0.277,0.28,0.281,0.281,0.29,0.29,0.28,0.282,0.28,0.282,0.29,0.293,0.301,0.302,0.302,0.303,0.302,0.302,0.301
KYRGYZSTAN,SOM,49.3,49.4,47.5,48.1,48.4,48.4,46.2,46.2,46.1,44.5,43.2,44.2,42.6,43.9,42.2,41.2,41.2,41.2,40.8,41.2,41.2,40.8,39.8,38.8,38.5,38.5,37.8,34.1,36.4,36.4,39.3,39.4,41,43,43.9,44,45.2,46.2,46.2,46.8,47.2,45.1,45,46.5,46.4,47,46.8,47.1,47.6,48.2,48.8,49.4,52.8,52,54.2,58.7,63.9,62,68.5,75.5,70,67.25,67.8
LAOS,KIP,8197,8510,9135,9510,9465,9545,10440,10750,10660,10550,10550,10443,10425,10552,10835,10570,10305,10535,10830,10777,10441,10065,10045,9625,9559,9559,9607,9471,8943,8662,8657,8468,8525,8503,8502,8476,8450,8237,8171,8031,8033,8007,8001,8001,7973,8016,7987,7966,7731,7749,7833,8006,8014,8035,8035,8078,8093,8097,8134,8128,8099,8077,8090
LATVIA,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.895,0.892,0.919,0.878,0.9,0.896
LATVIA,LATS,0.619,0.634,0.62,0.629,0.641,0.621,0.601,0.586,0.578,0.559,0.556,0.537,0.534,0.539,0.54,0.518,0.524,0.564,0.567,0.589,0.586,0.542,0.544,0.53,0.517,0.517,0.511,0.477,0.459,0.5,0.55,0.516,0.497,0.498,0.489,0.492,0.577,0.576,0.559,0.54,0.51,0.49,0.524,0.532,0.524,0.56,0.538,0.529,0.55,0.54,0.52,0.508,0.73,0.508,,,0.508,,,,,,
LEBANON,POUND,1501,1513.75,1513.5,1513.25,1513.75,1513.25,1512,1501,1501,1501,1501,1513,1514,1513.75,1514,1513.5,1513,1509,1502,1501,1501,1501,1502,1510,1511,1511,1512,1501,1501,1501,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
LESOTHO,SOUTH AFRICAN RAND,7.677,7.995,8.434,11.99,11.337,9.768,10.508,8.555,8.125,8.041,6.938,6.865,6.311,6.509,5.726,5.794,5.77,6.74,6.44,6.335,6.878,7.384,,6.906,7.122,7.122,7.151,7.921,7.715,7.568,10.154,9.466,8.034,7.708,7.78,7.369,7.317,7.625,7.365,7.07,6.96,6.8,8.067,8.142,7.658,8.49,8.245,8.485,9.25,9.97,10.08,10.48,10.63,10.605,11.26,11.566,12.209,12.246,13.837,15.556,14.718,14.851,13.848
LIBERIA,U.S. DOLLAR,41,43,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49.1727,50.083,79.01,81,90,84,82,84,85,87,88,90,90,90
LIBYA,DINAR,,,,,,,,,,,,,,,,,,,1.312,1.34,1.338,1.288,1.303,1.291,1.281,1.281,1.273,1.216,1.218,1.189,1.226,1.286,1.313,1.248,1.232,1.234,1.269,1.303,1.276,1.25,1.23,1.14,1.142,1.142,1.28,1.28,1.284,1.284,1.28,1.27,1.24,1.229,1.24,1.202,1.21,1.195,1.367,1.365,1.369,1.389,1.373,1.38,1.379
LITHUANIA,EURO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892,0.919,0.878,0.9,0.896
LITHUANIA,LITAS,3.998,3.999,3.998,3.995,3.98,3.705,3.621,3.298,3.197,2.917,2.955,2.783,2.818,2.827,2.833,2.6,2.601,2.798,2.813,2.924,2.904,2.686,2.701,2.622,2.566,2.566,2.53,2.35,2.276,2.448,2.678,2.523,2.446,2.446,2.404,2.398,2.813,2.81,2.722,2.65,2.5,2.39,2.555,2.641,2.587,2.78,2.667,2.618,2.69,2.64,2.56,2.508,2.5,2.528,2.74,2.839,2.84,2.84,,,,,
LUXEMBOURG,EURO,1.083,1.181,1.1,1.122,1.153,1.073,1.02,0.955,0.926,0.845,0.856,0.806,0.816,0.819,0.82,0.753,0.754,0.81,0.815,0.847,0.841,0.778,0.782,0.759,0.743,0.743,0.733,0.68,0.659,0.644,0.681,0.731,0.789,0.71,0.697,0.695,0.74,0.814,0.789,0.77,0.72,0.69,0.74,0.765,0.749,0.81,0.773,0.759,0.78,0.77,0.74,0.726,0.73,0.732,0.79,0.822,0.93,0.895,0.892,0.919,0.878,0.9,0.896
LUXEMBOURG,FRANC,43.705,47.655,44.383,45.27,46.507,,,,,,,,,,,,,,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,34.8125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACAO,MOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MACEDONIA FYROM,DENAR,65.52,70.92,69.5,65.5,68.5,66,63.35,59.2,56.7,52,53,49.2,49.7,50.4,50.4,46.9,47.7,48,50.3,51.9,51.9,50.2,48,46.1,44.6,44.6,44.6,41.3,39.6,42.9,47.2,48.2,47.4,43.2,42.5,42.3,50.1,50.1,48,45.8,44,42,44.3,46.4,45.6,48.6,46,45.4,46.7,46,43.4,43.4,44.4,44.05,46.5,49.2,55,53.5,54.78,56.29,53.98,55.15,54.89
MADAGASCAR,ARIARY,,,,,,,,,,,,,,,,,,,,2161.1699,2200.0901,2168.45,2129.77,2001.7,1845.6,1845.6,1843.14,1766.29,1615.62,1614.84,1818.96,1897.41,1929.99,1935.5,1926.24,1954.64,2109.46,2008.93,2006.8199,2010.61,2005.4399,1946.74,2059.89,2162.14,2109.3,2133.5701,2212.3,2267.82,2234.26,2187.4299,2214.8799,2236.01,2330.3999,2355.6,2505.6101,2596.73,2877.37,2882.98,3200,3196,3188.3899,3252.83,3097.7
MADAGASCAR,FRANC,6460,6706,6264,6370,6732,6960,6630,6500,6250,6100,6100,5926.49,8196.72,11065.8,,,9447,9963,10092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALAWI,KWACHA,79.75,75.25,64.42,66.26,71.65,74.81,80.71,85.72,90.088,91.2,107.28,107.28,107.28,107.28,107.28,106.5,106,119.36,120.2,125,134,136.95,136.91,137.19,138.12,138.12,142.006,142.006,142.006,142.006,142.006,142.006,142.006,142.006,142.006,146,151,151,151,151,151,151,168,168,168,168,303.3,337,415,356,377,448,434,408,422,505,456,456,573,662,687,721,747
